prawn_#,date,site,sex,weight(g),total_length(mm),carapace_length(mm),abdominal_length(mm),egg_length(mm),egg_width(mm),egg_depth(mm),egg volume (mm^3)
1,06-11-24,weld,Female,50,135.2,40.5,97.4,na,na,na,na
2,06-11-24,weld,Male,25,118.6,34,80.1,na,na,na,na
3,06-11-24,weld,Male,25,123.4,31.1,77.7,na,na,na,na
4,06-11-24,weld,Female,80,160,50.1,110.2,58.8,17.1,12,12065.76
5,07-11-24,weld,Female,50,137.4,40.1,97.7,52.2,15.1,9.8,7724.556
6,07-11-24,weld,Female,60,147.2,44.9,105.4,54.1,18,13.9,13535.82
7,07-11-24,weld,Female,55,139.2,41.7,98,52.7,15.5,13.4,10945.79
8,07-11-24,weld,Female,60,140.4,41.3,105.1,57.3,13.1,11.4,8557.182
9,07-11-24,weld,Female,65,144.6,43,101.4,47.1,14.3,11.4,7678.242
10,07-11-24,weld,Female,65,151.7,45.7,108,54.4,17.5,14,13328
11,07-11-24,weld,Female,50,141,44.2,99.3,51.3,15.6,14.1,11283.948
12,07-11-24,weld,Female,55,144.4,44.1,103.4,51.3,15.1,11.6,8985.708
13,07-11-24,weld,Female,45,137.1,41.4,97.1,50.2,14.1,15.2,10758.864
14,07-11-24,weld,Female,50,138.4,42.6,98.1,49.4,11.6,10.6,6074.224
15,07-11-24,weld,Female,60,145.2,44.5,102.1,50.2,16.4,9.9,8150.472
16,07-11-24,weld,Female,60,143.4,43.6,101.8,51.1,15.3,11.4,8912.862
17,07-11-24,weld,Female,40,133.8,39.4,95.1,47,15.5,10.6,7722.1
18,07-11-24,weld,Male,30,116.2,34.5,83.3,na,na,na,na
19,07-11-24,weld,Male,25,114.5,33,81.1,na,na,na,na
20,07-11-24,weld,Male,35,129,37.9,93.2,na,na,na,na
21,07-11-24,weld,Male,30,127.4,37.1,91.1,na,na,na,na
22,07-11-24,weld,Male,25,114.2,32.5,80.8,na,na,na,na
23,07-11-24,weld,Male,25,120.3,34.7,85.2,na,na,na,na
24,07-11-24,weld,Male,35,119.2,33.5,84.4,na,na,na,na
25,07-11-24,weld,Male,30,119.3,34.1,84.4,na,na,na,na
26,07-11-24,weld,Male,35,128.2,38.1,91.3,na,na,na,na
27,07-11-24,weld,Male,30,121.4,36.1,85.7,na,na,na,na
28,07-11-24,weld,Male,30,117.9,34.4,85.5,na,na,na,na
29,07-11-24,weld,Female,30,122.1,35,85.1,na,na,na,na
30,07-11-24,weld,Male,30,118.6,35.1,86.2,na,na,na,na
31,07-11-24,weld,Male,25,112.8,33,81.2,na,na,na,na
32,07-11-24,weld,Male,30,118.1,34.8,86.2,na,na,na,na
33,07-11-24,weld,Male,30,126.5,36.5,90.4,na,na,na,na
34,08-11-24,weld,Female,65,156,46.5,103.2,55.1,16.6,11.2,10244.192
35,08-11-24,weld,Female,60,158,48.1,105,59.2,16.1,13.4,12771.808
36,08-11-24,weld,Female,70,159,46.8,115.1,57.4,20,16.1,18482.8
37,08-11-24,weld,Female,50,156,46.1,112.2,53.6,16.1,10.3,8888.488
38,08-11-24,weld,Male,25,103.1,32,80.3,na,na,na,na
39,08-11-24,weld,Male,20,120.1,35,87.6,na,na,na,na
40,08-11-24,weld,Male,30,121.1,37.1,92.4,na,na,na,na
41,08-11-24,wizard,Female,50,135.2,41.1,95.1,43.1,12.3,10.3,5460.339
42,08-11-24,wizard,Female,45,139.6,41.1,89.2,50.3,14.4,14.1,10212.912
43,08-11-24,wizard,Female,50,147.2,43.3,102.4,52,17.3,11.5,10345.4
44,08-11-24,wizard,Female,55,137.2,40.3,97.5,47.1,14.9,14.8,10386.492
45,08-11-24,wizard,Female,40,132.9,38.8,92.7,46,12.1,12.2,6790.52
46,08-11-24,wizard,Female,50,139.9,40.7,100.1,46.1,18.3,15.9,13413.717
47,08-11-24,wizard,Female,45,140,40.7,100.8,50.2,14.6,11.4,8355.288
48,08-11-24,wizard,Female,50,141.3,42.2,102,46.6,14.5,10.9,7365.13
49,08-11-24,wizard,Female,40,138.5,40.3,100.2,47.2,13.2,12.4,7725.696
50,08-11-24,wizard,Female,45,142.3,40.6,103.1,49.1,14.1,12.2,8446.182
51,08-11-24,wizard,Female,50,146.2,42.5,105,50.4,15.5,13.1,10233.72
52,08-11-24,wizard,Female,45,137.5,39.4,98.4,50.9,16.9,12,10322.52
53,08-11-24,wizard,Female,45,143,41.4,101.6,46.2,16.2,11.1,8307.684
54,08-11-24,wizard,Female,40,139.1,40.1,99.2,45.2,14.1,10.9,6946.788
55,08-11-24,wizard,Male,30,119.3,32.3,85.3,na,na,na,na
56,08-11-24,wizard,Male,15,82.3,24.2,60.1,na,na,na,na
57,08-11-24,wizard,Male,15,96,27.5,68.1,na,na,na,na
58,08-11-24,wizard,Male,25,128.4,36.6,90.4,na,na,na,na
59,08-11-24,wizard,Male,15,101.3,30.4,74.1,na,na,na,na
60,08-11-24,wizard,Male,15,98,28.8,70,na,na,na,na
61,08-11-24,wizard,Male,20,118.6,33.6,86.4,na,na,na,na
62,08-11-24,wizard,Male,20,104.9,30.5,76.3,na,na,na,na
63,08-11-24,wizard,Male,10,92,26.1,66.3,na,na,na,na
64,08-11-24,wizard,Male,10,89.1,25.4,66.2,na,na,na,na
65,08-11-24,wizard,Male,20,105,30,76.5,na,na,na,na
66,08-11-24,wizard,Male,20,110,31.1,78.6,na,na,na,na
67,08-11-24,wizard,Male,20,115.4,32.4,84.1,na,na,na,na
68,08-11-24,wizard,Male,20,118.3,33.8,83.5,na,na,na,na
69,08-11-24,wizard,Male,20,115.6,33.3,83.5,na,na,na,na
70,08-11-24,wizard,Male,25,121.2,34.6,87.4,na,na,na,na
71,08-11-24,wizard,Male,15,108.2,30.6,77.1,na,na,na,na
72,08-11-24,wizard,Male,15,93.1,27.9,70,na,na,na,na
73,08-11-24,wizard,Male,15,102.3,32.2,82.1,na,na,na,na
74,08-11-24,wizard,Male,10,93.5,26.8,67.6,na,na,na,na
75,08-11-24,wizard,Male,15,102.5,32.5,80.3,na,na,na,na
76,08-11-24,wizard,Male,15,99.7,29.1,69.9,na,na,na,na
77,08-11-24,wizard,Female,40,131.5,38.1,95.1,44.4,15.2,13,8773.44
78,08-11-24,wizard,Male,20,104,32.1,81.6,na,na,na,na
79,08-11-24,wizard,Male,25,112.7,32.4,81.1,na,na,na,na
80,08-11-24,wizard,Male,15,115.5,33.1,80.8,na,na,na,na
81,08-11-24,wizard,Male,10,85.1,24.4,62.2,na,na,na,na
82,08-11-24,wizard,Male,15,92.1,27.6,68.6,na,na,na,na
83,08-11-24,wizard,Male,15,110.7,33.2,81.4,na,na,na,na
84,08-11-24,wizard,Male,30,118.6,34.5,85.5,na,na,na,na
85,08-11-24,wizard,Male,20,109.6,32,78.7,na,na,na,na
86,08-11-24,wizard,Male,25,123.1,35,88.3,na,na,na,na
87,08-11-24,wizard,Male,25,112.5,32.9,82.1,na,na,na,na
88,08-11-24,wizard,Male,20,115.1,33.3,82.1,na,na,na,na
89,08-11-24,wizard,Male,25,119.4,34,86.1,na,na,na,na
90,08-11-24,wizard,Male,15,98.6,29,74.6,na,na,na,na
91,08-11-24,wizard,Male,20,104.3,29.3,74.6,na,na,na,na
92,08-11-24,wizard,Male,25,120.1,34.1,85,na,na,na,na
